Date,Low,Open,Volume,High,Close,Adjusted Close,Stock_Return,Unnamed: 0,GDP,GDP Growth,CPI,Core CPI,PPI,Unemployment Rate,Labor Force Participation Rate,Fed Funds Rate,10Y Treasury Yield,Money Supply (M2),Consumer Confidence,Housing Starts,Home Price Index,S&P 500 Index,VIX (Volatility Index),Corporate Bond Yield,Oil Prices (WTI),Trade Balance,USD Index,Market_Return,Beta,Treynor_Ratio
04-04-2019,33.68000030517578,34.2599983215332,32661800,36.25,35.810001373291016,35.114871978759766,0.0,5090,20610.221604395607,3.446153846153846,255.2393,262.019,202.06,3.69,62.81,2.417,2.51,14564.29,97.48,1274.1,207.5937,2879.39,13.58,2.22,62.12,-49717.2,92.2035,0.0020846384074615365,0.6126219833584443,-4.097143210956898
05-04-2019,34.91999816894531,35.400001525878906,4490500,36.79999923706055,36.58000183105469,35.86991882324219,0.021502385597169438,5091,20612.87047252748,3.461538461538461,255.2414,262.0263333333333,202.04666666666665,3.686666666666667,62.81333333333333,2.416,2.5,14567.553333333331,97.57333333333334,1274.8,207.6136,2892.74,12.82,2.22,63.1,-49758.93333333333,92.3203,0.004636398681665099,0.6126219833584443,-4.045720985746385
08-04-2019,36.59000015258789,37.0,3526100,39.40999984741211,39.220001220703125,38.45867919921875,0.07217056472116412,5092,20620.81707692308,3.507692307692308,255.2477,262.04833333333335,202.00666666666663,3.6766666666666654,62.82333333333333,2.413,2.52,14577.343333333334,97.85333333333334,1276.9,207.6733,2895.77,13.18,2.21,64.37,-49884.13333333333,91.9681,0.0010474498226595852,0.6126219833584443,-3.9956604590968685
09-04-2019,37.65999984741211,39.31999969482422,2905600,40.0,38.59999847412109,37.85071563720703,-0.01580833062939213,5093,20623.465945054948,3.523076923076923,255.2498,262.0556666666667,201.9933333333333,3.673333333333333,62.82666666666666,2.412,2.51,14580.606666666668,97.94666666666669,1277.6,207.6932,2878.2,14.28,2.19,64.05,-49925.86666666667,91.8744,-0.0060674708281390766,0.6126219833584443,-4.122947591241669
10-04-2019,38.61000061035156,38.959999084472656,4579900,40.97999954223633,40.2599983215332,39.47848129272461,0.04300517909411439,5094,20626.11481318681,3.5384615384615383,255.2519,262.063,201.98,3.67,62.83,2.411,2.48,14583.87,98.04,1278.3,207.7131,2888.21,13.3,2.21,64.62,-49967.6,91.8693,0.0034778681120144483,0.6126219833584443,-3.97797481498473
11-04-2019,40.380001068115234,41.16999816894531,2523800,42.97999954223633,42.060001373291016,41.24355697631836,0.04470946663688946,5095,20628.763681318684,3.5538461538461537,255.254,262.07033333333334,201.96666666666667,3.666666666666667,62.83333333333333,2.41,2.51,14587.133333333331,98.13333333333334,1279.0,207.733,2888.32,13.02,2.2,63.61,-50009.333333333336,92.0946,3.808587325715429e-05,0.6126219833584443,-4.0241626979302705
12-04-2019,41.0099983215332,43.130001068115234,1700300,43.31399917602539,41.869998931884766,41.05724334716797,-0.0045174140561703435,5096,20631.41254945055,3.569230769230769,255.2561,262.0776666666667,201.9533333333333,3.6633333333333336,62.836666666666666,2.409,2.56,14590.396666666667,98.22666666666667,1279.7,207.7529,2907.41,12.01,2.15,63.86,-50051.066666666666,91.9007,0.006609378462220095,0.6126219833584443,-4.186133510908756
15-04-2019,41.5099983215332,41.84999847412109,1609900,44.25,42.33000183105469,41.50831604003906,0.010986455956644825,5097,20639.359153846155,3.615384615384616,255.2624,262.0996666666667,201.91333333333333,3.653333333333333,62.84666666666666,2.406,2.55,14600.186666666666,98.50666666666667,1281.8,207.8126,2905.58,12.32,2.15,63.43,-50176.26666666667,91.9739,-0.0006294261903205811,0.6126219833584443,-4.144502830480018
16-04-2019,40.06999969482422,43.13999938964844,1636300,43.22999954223633,40.81999969482422,40.02762222290039,-0.03567214908841987,5098,20642.008021978025,3.630769230769231,255.2645,262.107,201.9,3.65,62.85,2.405,2.6,14603.45,98.6,1282.5,207.8325,2907.06,12.18,2.12,64.01,-50218.0,92.0063,0.000509364739569973,0.6126219833584443,-4.30228137527721
17-04-2019,38.630001068115234,41.09999847412109,1460300,41.27000045776367,39.400001525878906,38.63518142700195,-0.0347868245850419,5099,20644.65689010989,3.646153846153846,255.2666,262.1143333333333,201.88666666666663,3.646666666666667,62.85333333333333,2.404,2.59,14606.713333333331,98.69333333333331,1283.2,207.8524,2900.45,12.6,2.13,63.74,-50259.73333333333,92.015,-0.002273774879087531,0.6126219833584443,-4.284512955600685
